date,current_logret,mu,sigma,sigma_model,drift,realized_sigma_20d
2011-03-24,0.00766181,0.022420647,0.014922727,0.005654435,0.014758837,0.014507408557233642
2011-03-25,0.023594944,0.004616273,0.012446748,0.0047162515,-0.018978668,0.013067106271394673
2011-03-28,0.005819352,0.0071235984,0.012759155,0.004834627,0.0013042457,0.013042156046070164
2011-03-29,0.008596309,0.008405799,0.012375797,0.004689367,-0.00019050957,0.013084900515675393
2011-03-30,0.008903184,0.008368922,0.010443871,0.0039573326,-0.00053426094,0.010940703295890091
2011-03-31,0.007933698,-0.0002550964,0.011039163,0.004182897,-0.008188794,0.011011954771677787
2011-04-01,-0.001320811,0.014311851,0.01076431,0.0040787514,0.015632663,0.01103749337397624
2011-04-04,0.014044356,0.0004252891,0.010122362,0.0038355081,-0.013619066,0.010622550922637872
2011-04-05,0.000270696,-0.0033711232,0.010397697,0.0039398363,-0.0036418193,0.010534951511678436
2011-04-06,-0.003101191,-0.0005243992,0.011010322,0.004171969,0.002576792,0.01063116191505642
2011-04-07,-0.001027354,-0.00745767,0.0103441235,0.0039195367,-0.006430316,0.010431109913262274
2011-04-08,-0.007452509,-0.008990112,0.01048083,0.003971337,-0.0015376025,0.010342560323417202
2011-04-11,-0.009683814,0.020152131,0.010439204,0.003955564,0.029835945,0.010327473080239081
2011-04-13,0.021510217,-0.015021287,0.010265888,0.003889892,-0.036531504,0.010354222514253707
2011-04-15,-0.014817897,-0.015720474,0.011375571,0.0043103667,-0.0009025765,0.011022829755265142
2011-04-18,-0.016523242,0.001602622,0.011417693,0.0043263277,0.018125864,0.011397422549509657
2011-04-19,0.002031396,0.017979607,0.010546399,0.003996182,0.01594821,0.010760437043857256
2011-04-20,0.019133792,0.006086421,0.011088936,0.004201757,-0.013047371,0.011248873311513686
2011-04-21,0.005632139,-0.0025174331,0.011558881,0.0043798257,-0.008149573,0.011198064523781089
2011-04-25,-0.001734846,-0.0014727807,0.011308817,0.004285073,0.00026206495,0.011105659375565886
2011-04-26,-0.001038942,-0.004893955,0.010710251,0.0040582675,-0.0038550126,0.011103373053839858
